SERIAL,CIRCULATION_MARKET_VALUE<140>,CHG,PEAK_PRICE<140>,TRADING_VOLUMES,VOLUME,MARKET_SHORT_NAME,SECURITY_CODE,BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,TURNOVER_RATE,IFSTSTOCK{2025-10-28},MARKET_NUM,IN_OPTIONAL,PCHG,PETTM{2025-10-28},TOAL_MARKET_VALUE<140>
217,1322.20亿,-2.44,18.66,12.32亿,6742.33万,SH,600989,17.98,0.93,11.08,2.88,18.03,宝丰能源,否,0.92,否,1,False,-0.45,12.30,1322.20亿
218,800.99亿,-0.80,2.50,7.73亿,3.13亿,SH,601868,2.46,1.01,18.38,0.94,2.47,中国能建,否,0.96,否,1,False,-0.02,12.24,1029.77亿
219,473.53亿,2.41,3.83,7.44亿,1.97亿,SH,601991,3.73,1.55,7.72,2.12,3.82,大唐发电,否,1.59,否,1,False,0.09,11.83,706.96亿
220,1598.02亿,-1.35,25.92,9.23亿,3602.28万,SH,600690,25.51,0.95,9.96,2.09,25.55,海尔智家,否,0.58,否,1,False,-0.35,11.77,2396.71亿
221,9391.41亿,0.09,45.39,6.34亿,1412.05万,SH,601628,44.55,0.49,15.57,2.47,45.10,中国人寿,否,0.07,否,1,False,0.04,11.63,1.27万亿
222,2193.98亿,-0.96,22.96,6.49亿,2862.06万,SH,601225,22.52,0.64,14.36,2.47,22.63,陕西煤业,否,0.30,否,1,False,-0.22,11.61,2193.98亿
223,1620.64亿,-1.20,22.45,21.29亿,9577.54万,SH,601688,22.08,0.89,13.26,1.20,22.18,华泰证券,否,1.31,否,1,False,-0.27,11.38,2002.16亿
224,595.00亿,0.23,8.90,2.56亿,2902.32万,SH,600039,8.66,0.80,13.86,1.62,8.86,四川路桥,否,0.43,否,1,False,0.02,11.34,770.43亿
225,357.79亿,0.34,20.82,5144.21万,248.52万,SZ,001872,20.57,0.73,9.80,0.82,20.74,招商港口,否,0.14,否,0,False,0.07,11.20,514.71亿
226,510.15亿,-0.11,18.40,2.20亿,1203.05万,SH,601607,18.27,0.98,7.61,0.90,18.29,上海医药,否,0.43,否,1,False,-0.02,11.17,678.26亿
