SERIAL,CIRCULATION_MARKET_VALUE<140>,CHG,TRADING_VOLUMES{2025-10-30},TOAL_MARKET_VALUE<140>{2025-10-30},MARKET_SHORT_NAME,SECURITY_CODE,BOTTOM_PRICE<140>{2025-10-30},TURNOVER_RATE{2025-10-30},PE_DYNAMIC{2025-10-30},VOLUME{2025-10-30},PETTM{2025-10-30},PEAK_PRICE<140>{2025-10-30},QRR{2025-10-30},PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,MARKET_NUM,IN_OPTIONAL,PCHG{2025-10-30},IFSTSTOCK{2025-10-30}
116,974.07亿,-3.48,12.12亿,974.07亿,SH,600160,36.00,1.23,22.49,3321.84万,24.60,37.45,0.98,4.77,36.08,巨化股份,否,1,False,-1.30,否
117,1771.25亿,-1.37,21.41亿,1929.28亿,SH,601985,9.23,1.21,18.08,2.29亿,24.59,9.45,1.11,1.67,9.38,中国核电,否,1,False,-0.13,否
118,1048.45亿,-0.72,59.50亿,1048.45亿,SH,600089,20.67,5.63,14.34,2.85亿,24.46,21.29,1.32,1.58,20.75,特变电工,否,1,False,-0.15,否
119,1080.95亿,-1.98,23.47亿,1080.95亿,SH,600489,21.98,2.17,22.04,1.05亿,24.45,22.70,1.30,3.70,22.30,中金黄金,否,1,False,-0.45,否
120,1501.28亿,0.49,25.88亿,1530.23亿,SZ,000725,4.06,1.72,24.94,6.31亿,24.34,4.14,1.87,1.15,4.09,京东方Ａ,否,0,False,0.02,否
121,487.08亿,-1.82,15.16亿,744.24亿,SH,600875,21.45,3.09,18.82,6988.24万,23.70,22.10,1.01,1.76,21.52,东方电气,否,1,False,-0.40,否
122,341.08亿,-8.29,15.42亿,605.59亿,SZ,300866,110.98,4.43,23.50,1337.67万,23.51,123.11,3.83,6.12,112.95,安克创新,否,0,False,-10.21,否
123,979.24亿,-2.83,9.99亿,979.36亿,SH,600415,17.81,1.01,21.25,5555.59万,23.31,18.35,1.21,4.41,17.86,小商品城,否,1,False,-0.52,否
124,1730.45亿,-1.81,4.31亿,2066.38亿,SH,601066,26.63,0.25,21.86,1603.97万,23.29,27.14,1.14,2.59,26.64,中信建投,否,1,False,-0.49,否
125,594.16亿,-1.01,10.58亿,594.16亿,SH,601377,6.86,1.77,17.68,1.53亿,23.28,7.01,1.02,1.08,6.88,兴业证券,否,1,False,-0.07,否
126,1233.88亿,4.28,97.40亿,1243.83亿,SH,603799,62.11,7.89,22.13,1.49亿,23.25,66.85,1.78,2.61,65.49,华友钴业,否,1,False,2.69,否
127,603.77亿,-1.42,4.96亿,761.07亿,SH,600196,28.50,0.82,22.62,1731.10万,23.19,28.92,0.80,1.58,28.50,复星医药,否,1,False,-0.41,否
128,532.39亿,-1.52,5.19亿,532.39亿,SH,601878,11.64,0.97,21.10,4427.68万,23.18,11.81,0.99,1.48,11.64,浙商证券,否,1,False,-0.18,否
129,3005.23亿,-0.39,25.13亿,3044.57亿,SZ,002415,33.10,0.83,24.50,7510.46万,23.08,33.95,1.04,3.88,33.22,海康威视,否,0,False,-0.13,否
130,536.73亿,-1.92,3.97亿,540.40亿,SZ,002595,66.46,0.74,22.66,589.52万,22.68,69.13,0.68,4.75,67.55,豪迈科技,否,0,False,-1.32,否
131,470.14亿,8.76,20.85亿,739.44亿,SH,600026,12.99,4.43,20.37,1.54亿,22.63,13.68,3.28,1.69,13.53,中远海能,否,1,False,1.09,否
132,856.40亿,-3.45,8.73亿,856.40亿,SH,688036,75.00,1.01,29.90,1150.40万,22.58,77.76,0.95,4.25,75.10,传音控股,否,1,False,-2.68,否
133,3613.13亿,-0.87,37.34亿,9446.33亿,SZ,002594,103.50,1.03,30.36,3589.89万,22.42,104.86,1.06,4.49,103.61,比亚迪,否,0,False,-0.91,否
134,678.37亿,-7.46,27.60亿,678.37亿,SH,605117,73.00,4.06,21.68,3682.83万,22.11,77.50,2.11,7.12,74.73,德业股份,否,1,False,-6.02,否
135,1329.76亿,0.48,31.72亿,1329.77亿,SZ,000792,24.79,2.39,22.15,1.26亿,22.07,25.48,1.24,3.24,25.13,盐湖股份,否,0,False,0.12,否
136,1600.93亿,-0.49,6.38亿,2055.29亿,SZ,003816,4.04,0.40,17.97,1.57亿,21.86,4.12,0.92,1.67,4.07,中国广核,否,0,False,-0.02,否
137,1830.60亿,0.79,2.84亿,1894.78亿,SH,600025,10.04,0.16,18.85,2790.77万,21.69,10.21,1.04,2.88,10.17,华能水电,否,1,False,0.08,否
138,1722.02亿,0.66,17.02亿,1730.62亿,SH,600887,27.12,0.99,12.45,6211.66万,21.31,27.55,1.86,3.25,27.36,伊利股份,否,1,False,0.18,否
139,1252.14亿,2.10,16.80亿,1252.14亿,SH,600905,4.29,1.35,21.77,3.85亿,21.26,4.43,2.84,1.41,4.38,三峡能源,否,1,False,0.09,否
140,61.74亿,-1.04,7.11亿,603.68亿,SH,601061,12.20,11.35,19.47,5689.71万,21.20,12.77,1.08,2.55,12.32,中信金属,否,1,False,-0.13,否
141,686.56亿,-1.07,11.30亿,686.56亿,SH,601901,8.31,1.64,13.55,1.35亿,21.19,8.44,1.20,1.38,8.34,方正证券,否,1,False,-0.09,否
142,550.98亿,-1.93,6.23亿,605.33亿,SZ,000975,21.67,1.13,18.46,2844.11万,20.84,22.20,0.79,4.20,21.80,山金国际,否,0,False,-0.43,否
143,493.52亿,0.17,13.15亿,563.66亿,SH,600988,28.91,2.68,20.54,4452.57万,20.74,30.00,0.88,4.50,29.66,赤峰黄金,否,1,False,0.05,否
144,786.63亿,-1.38,4.09亿,842.66亿,SZ,001979,9.27,0.52,25.31,4371.03万,20.71,9.47,0.92,0.86,9.30,招商蛇口,否,0,False,-0.13,否
145,1123.60亿,2.10,12.96亿,1123.60亿,SZ,002027,7.68,1.15,19.87,1.66亿,20.70,7.89,2.07,6.82,7.78,分众传媒,否,0,False,0.16,否
146,847.79亿,-2.58,13.73亿,964.37亿,SH,600958,11.30,1.60,14.15,1.20亿,20.51,11.64,1.20,1.21,11.35,东方证券,否,1,False,-0.30,否
147,1577.02亿,2.26,9.88亿,1577.02亿,SH,600019,7.11,0.63,14.86,1.37亿,20.49,7.31,1.61,0.77,7.24,宝钢股份,否,1,False,0.16,否
148,6834.87亿,0.64,24.65亿,6966.10亿,SH,600900,28.19,0.36,18.53,8671.74万,20.38,28.56,1.01,3.37,28.47,长江电力,否,1,False,0.18,否
149,580.54亿,-2.30,16.78亿,580.54亿,SH,600522,16.96,2.87,18.62,9792.43万,20.26,17.42,0.84,1.59,17.01,中天科技,否,1,False,-0.40,否
150,2558.81亿,0.00,5.63亿,2558.81亿,SH,601816,5.20,0.22,18.63,1.08亿,20.10,5.25,0.95,1.28,5.23,京沪高铁,否,1,False,0.00,否
151,1.79万亿,-0.36,67.69亿,1.79万亿,SH,600519,1421.81,0.38,20.73,474.56万,19.85,1436.63,1.43,6.95,1426.74,贵州茅台,否,1,False,-5.16,否
152,550.90亿,0.22,27.11亿,555.76亿,SH,600487,22.19,4.90,17.54,1.20亿,19.64,23.08,1.40,1.81,22.53,亨通光电,否,1,False,0.05,否
153,487.63亿,-2.60,4.32亿,762.08亿,SH,688187,55.56,0.87,21.01,760.24万,19.57,58.14,1.13,1.87,56.12,时代电气,否,1,False,-1.50,否
154,1001.27亿,0.23,6.09亿,1007.75亿,SZ,000538,56.17,0.61,15.82,1077.41万,19.40,56.88,1.50,2.61,56.48,云南白药,否,0,False,0.13,否
155,1351.01亿,0.13,8.41亿,1760.27亿,SH,600660,67.25,0.62,18.69,1238.27万,19.38,68.50,0.90,4.96,67.45,福耀玻璃,否,1,False,0.09,否
156,465.90亿,0.20,3.13亿,896.28亿,SH,600600,65.38,0.67,12.74,475.77万,19.36,65.96,0.96,2.86,65.70,青岛啤酒,否,1,False,0.13,否
157,2400.57亿,-8.47,120.61亿,2896.03亿,SH,603259,96.46,4.98,17.99,1.23亿,19.32,100.50,2.75,4.08,97.06,药明康德,否,1,False,-8.98,否
158,787.10亿,0.05,1.56亿,790.53亿,SH,603195,43.56,0.20,19.90,355.32万,19.31,44.06,1.14,5.38,43.71,公牛集团,否,1,False,0.02,否
