SERIAL,PER_NAV,CHG,STARTDATE,TRADING_VOLUMES,PREMIUM,FOUND_DATE,SECURITY_CODE,QJFE_DAY{2025-10-24},NEWEST_PRICE,SECURITY_SHORT_NAME,MARKET_NUM,IN_OPTIONAL,PCHG,NEW_SHARE,FUND_CHG_NEW,T0,NEW_SCALE,NEW_SCALE{2025-10-26}
74,2.2317,1.07,2020-10-14,5.88亿,0.139,2020-10-22,513300,75.00万,2.352,纳斯达克ETF,1,False,0.025,50.74亿,0.86|2025-10-23,T+0,113.21亿|2025-10-23,113.21亿|2025-10-23
75,0.9284,5.10,2021-06-21,4.28亿,0.000,2021-06-28,159781,-,0.928,科创创业ETF,0,False,0.045,127.49亿,5.11|2025-10-24,T+1,112.61亿|2025-10-23,112.61亿|2025-10-23
76,0.5964,0.34,2022-01-17,5.28亿,0.003,2022-02-09,513770,2.46亿,0.599,港股互联网ETF,1,False,0.002,188.13亿,1.05|2025-10-24,T+0,112.20亿|2025-10-24,112.20亿|2025-10-24
77,0.8843,1.14,2021-02-22,4.67亿,0.000,2021-03-04,159851,-,0.884,金融科技ETF,0,False,0.010,127.28亿,1.24|2025-10-24,T+1,111.18亿|2025-10-23,111.18亿|2025-10-23
78,1.4716,1.03,2021-02-19,6.59亿,0.000,2021-02-25,159869,-,1.472,游戏ETF,0,False,0.015,76.43亿,1.19|2025-10-24,T+1,111.15亿|2025-10-23,111.15亿|2025-10-23
79,1.7073,4.86,2019-04-22,6.64亿,-0.002,2019-05-16,512760,-1.18亿,1.705,芯片ETF,1,False,0.079,64.73亿,4.99|2025-10-24,T+1,110.52亿|2025-10-24,110.52亿|2025-10-24
80,0.7391,1.09,2022-04-18,5.29亿,0.001,2022-04-27,513380,1.37亿,0.740,恒生科技ETF龙头,1,False,0.008,145.94亿,1.85|2025-10-24,T+0,107.86亿|2025-10-24,107.86亿|2025-10-24
81,1.8168,2.31,2021-03-03,3.62亿,0.001,2021-03-09,516150,-2550.00万,1.818,稀土ETF嘉实,1,False,0.041,58.16亿,2.31|2025-10-24,T+1,105.67亿|2025-10-24,105.67亿|2025-10-24
82,1.1396,0.98,2021-01-18,4.97亿,-0.002,2021-01-28,159841,-,1.138,证券ETF,0,False,0.011,92.97亿,0.91|2025-10-24,T+1,105.00亿|2025-10-23,105.00亿|2025-10-23
83,1.4022,-0.50,2019-10-30,2.22亿,0.000,2019-11-26,515180,1.21亿,1.402,红利ETF易方达,1,False,-0.007,73.79亿,-0.52|2025-10-24,T+1,103.46亿|2025-10-24,103.46亿|2025-10-24
84,-,0.00,2016-08-15,21.46亿,0.005,2016-09-02,511660,3900.00,100.005,货币ETF建信添益,1,False,-0.004,1.01亿,0.00|2025-10-26,T+0,100.54亿|2025-10-24,100.54亿|2025-10-24
