SERIAL,PER_NAV,CHG,STARTDATE,TRADING_VOLUMES,PREMIUM,FOUND_DATE,SECURITY_CODE,NEWEST_PRICE,SECURITY_SHORT_NAME,MARKET_NUM,IN_OPTIONAL,PCHG,NEW_SHARE,QJFE_DAY{2025-11-12},FUND_CHG_NEW,T0,NEW_SCALE
23,0.5908,0.34,2016-08-01,4.48亿,0.002,2016-08-30,512000,0.593,券商ETF,1,False,0.002,676.21亿,9.83亿,-0.67|2025-11-12,T+1,399.51亿|2025-11-12
24,2.3022,1.73,2022-09-23,15.80亿,0.044,2022-09-30,588200,2.346,科创芯片ETF,1,False,0.040,170.38亿,1.98亿,-0.42|2025-11-12,T+1,392.25亿|2025-11-12
25,9.0174,1.48,2014-08-04,8.10亿,0.123,2014-08-13,159937,9.140,黄金ETF基金,0,False,0.133,42.61亿,2760.00万,-0.21|2025-11-12,T+0,384.26亿|2025-11-12
26,1.4442,0.00,2022-06-17,2.98亿,0.004,2022-06-30,159636,1.448,港股通科技30ETF,0,False,0.000,264.41亿,-2000.00万,0.35|2025-11-12,T+0,381.86亿|2025-11-12
27,3.0791,1.43,2022-07-22,6667.27万,0.048,2022-07-28,560010,3.127,中证1000ETF指数,1,False,0.044,111.70亿,0.00,-0.72|2025-11-12,T+1,343.92亿|2025-11-12
28,119.8756,-0.22,2023-02-17,36.73亿,-0.239,2023-05-19,511090,119.637,30年国债ETF,1,False,-0.260,2.86亿,157.00万,0.14|2025-11-12,T+0,342.67亿|2025-11-12
29,0.5580,-0.54,2021-01-18,12.51亿,-0.002,2021-01-26,513330,0.556,恒生互联网ETF,1,False,-0.003,607.37亿,800.00万,-0.27|2025-11-12,T+0,338.92亿|2025-11-12
30,2.2037,0.18,2020-02-24,46.13亿,0.011,2020-03-13,513090,2.215,香港证券ETF,1,False,0.004,150.87亿,-3000.00万,-0.51|2025-11-12,T+0,332.48亿|2025-11-12
31,9.4386,1.45,2013-10-28,7.68亿,0.125,2013-11-29,159934,9.564,黄金ETF,0,False,0.137,35.22亿,450.00万,-0.21|2025-11-12,T+0,332.46亿|2025-11-12
32,1.3580,-0.48,2015-05-20,4.85亿,0.107,2015-06-10,159941,1.465,纳指ETF,0,False,-0.007,222.95亿,1950.00万,-0.29|2025-11-11,T+0,302.51亿|2025-11-11
33,1.7185,1.63,2019-12-24,4.52亿,0.030,2020-01-20,159995,1.749,芯片ETF,0,False,0.028,165.16亿,1.04亿,-0.56|2025-11-12,T+1,283.82亿|2025-11-12
34,10.2080,-0.01,2014-10-17,1.85亿,0.002,2014-11-13,511220,10.210,城投债ETF,1,False,-0.001,26.58亿,910.00万,0.02|2025-11-12,T+0,271.35亿|2025-11-12
35,8.9255,1.42,2013-06-24,2.64亿,0.120,2013-07-18,518800,9.046,黄金基金ETF,1,False,0.127,30.11亿,2070.00万,-0.21|2025-11-12,T+0,268.71亿|2025-11-12
36,1.2402,-0.88,2018-11-21,3.63亿,-0.008,2018-12-19,512890,1.232,红利低波ETF,1,False,-0.011,212.88亿,5600.00万,0.74|2025-11-12,T+1,264.02亿|2025-11-12
37,0.3648,0.00,2019-04-22,2.15亿,0.001,2019-05-20,512170,0.366,医疗ETF,1,False,0.000,705.75亿,-400.00万,-0.08|2025-11-12,T+1,257.46亿|2025-11-12
38,1.4777,2.36,2016-06-06,12.41亿,0.038,2016-06-30,159949,1.516,创业板50ETF,0,False,0.035,173.72亿,-2.00亿,-0.23|2025-11-12,T+1,256.70亿|2025-11-12
39,1.3524,3.46,2022-06-13,62.10亿,0.053,2022-07-01,513120,1.405,港股创新药ETF,1,False,0.047,187.42亿,50.00万,2.28|2025-11-12,T+0,253.47亿|2025-11-12
40,1.7642,-0.45,2023-10-30,8.97亿,0.010,2023-11-10,513750,1.774,港股通非银ETF,1,False,-0.008,142.82亿,6850.00万,1.71|2025-11-12,T+0,251.97亿|2025-11-12
41,0.8164,-0.37,2021-05-12,3.94亿,0.002,2021-05-18,513010,0.818,恒生科技ETF易方达,1,False,-0.003,295.89亿,0.00,0.15|2025-11-12,T+0,241.57亿|2025-11-12
42,106.5724,-0.02,2018-12-10,7409.14万,-0.022,2018-12-27,511030,106.550,公司债ETF,1,False,-0.026,2.26亿,0.00,0.01|2025-11-12,T+0,241.34亿|2025-11-12
43,0.7930,0.25,2021-05-31,3.11亿,0.003,2021-06-21,513980,0.796,港股科技50ETF,1,False,0.002,297.47亿,0.00,0.11|2025-11-12,T+0,235.90亿|2025-11-12
44,1.4347,0.56,2020-07-20,3.07亿,0.008,2020-07-27,159819,1.443,人工智能ETF,0,False,0.008,163.37亿,4200.00万,0.38|2025-11-12,T+1,234.39亿|2025-11-12
45,4.1266,0.80,2006-03-09,1523.98万,0.033,2006-04-13,510180,4.160,上证180ETF,1,False,0.033,56.63亿,-400.00万,-0.15|2025-11-12,T+1,233.67亿|2025-11-12
46,0.9690,0.93,2021-11-11,4.39亿,0.010,2021-12-17,562500,0.979,机器人ETF,1,False,0.009,238.38亿,-450.00万,-1.22|2025-11-12,T+1,230.99亿|2025-11-12
