SERIAL,CIRCULATION_MARKET_VALUE<140>,CHG,PEAK_PRICE<140>,TRADING_VOLUMES,VOLUME,MARKET_SHORT_NAME,SECURITY_CODE,BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IFSTSTOCK{2025-10-29},IF_DELISTING,TURNOVER_RATE,MARKET_NUM,IN_OPTIONAL,PCHG,PETTM{2025-10-29},TOAL_MARKET_VALUE<140>
107,611.45亿,5.19,109.22,19.90亿,1887.62万,SH,603296,100.90,1.65,26.32,4.37,107.05,华勤技术,否,否,3.30,1,False,5.28,27.35,1087.34亿
108,1874.54亿,0.77,22.18,11.45亿,5195.59万,SH,600031,21.90,0.62,19.31,2.84,22.12,三一重工,否,否,0.61,1,False,0.17,26.44,2014.24亿
109,750.48亿,1.48,19.25,11.69亿,6117.77万,SH,601788,18.87,1.45,26.32,1.49,19.21,光大证券,否,否,1.57,1,False,0.28,26.43,885.73亿
110,452.75亿,-0.52,34.79,3.87亿,1125.53万,SZ,002422,33.93,1.31,27.68,2.36,34.67,科伦药业,否,否,0.86,0,False,-0.18,25.93,554.05亿
111,3044.13亿,15.44,194.97,264.10亿,1.45亿,SZ,300274,168.91,2.03,25.06,9.23,191.49,阳光电源,否,否,9.14,0,False,25.61,25.92,3969.99亿
112,786.09亿,-0.08,37.91,5.86亿,1553.09万,SZ,002179,37.62,0.64,27.85,3.42,37.78,中航光电,否,否,0.75,0,False,-0.03,25.63,800.28亿
113,1993.48亿,5.99,24.99,26.92亿,1.10亿,SH,600406,23.46,2.91,33.91,4.11,24.93,国电南瑞,否,否,1.38,1,False,1.41,25.51,2002.40亿
114,1009.17亿,4.62,37.45,14.88亿,4061.74万,SH,600160,35.80,1.40,23.30,4.94,37.38,巨化股份,否,否,1.50,1,False,1.65,25.49,1009.17亿
115,890.41亿,1.73,17.66,8113.47万,464.13万,SZ,001289,17.22,1.08,21.87,1.97,17.66,龙源电力,否,否,0.09,0,False,0.30,25.43,1476.34亿
116,1102.76亿,2.80,22.80,14.97亿,6640.46万,SH,600489,22.29,0.67,22.48,3.90,22.75,中金黄金,否,否,1.37,1,False,0.62,25.42,1102.76亿
