SERIAL,CIRCULATION_MARKET_VALUE<140>,CHG,PEAK_PRICE<140>,TRADING_VOLUMES,VOLUME,MARKET_SHORT_NAME,SECURITY_CODE,BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,TURNOVER_RATE,IFSTSTOCK{2025-10-17},MARKET_NUM,IN_OPTIONAL,PCHG,PETTM{2025-10-17},TOAL_MARKET_VALUE<140>
114,519.58亿,-2.49,11.71,5.42亿,4705.97万,SH,601878,11.36,0.99,22.61,1.45,11.36,浙商证券,否,1.03,否,1,False,-0.29,22.63,519.58亿
115,3641.73亿,-2.37,106.63,65.77亿,6257.25万,SZ,002594,104.26,1.01,30.69,4.52,104.43,比亚迪,否,1.79,否,0,False,-2.53,22.60,9521.09亿
116,1157.95亿,-4.98,65.37,65.81亿,1.06亿,SH,603799,60.98,0.84,20.76,2.58,61.46,华友钴业,否,5.62,否,1,False,-3.22,22.47,1167.29亿
117,873.62亿,-5.01,80.88,10.17亿,1302.35万,SH,688036,76.53,0.88,36.02,4.41,76.61,传音控股,否,1.14,否,1,False,-4.04,22.34,873.62亿
118,954.47亿,-5.88,20.40,53.32亿,2.76亿,SH,600089,18.87,0.80,14.99,1.44,18.89,特变电工,否,5.45,否,1,False,-1.18,22.27,954.47亿
119,557.02亿,-2.27,6.65,5.88亿,8998.74万,SH,601377,6.45,0.98,20.94,1.01,6.45,兴业证券,否,1.04,否,1,False,-0.15,21.82,557.02亿
120,2308.42亿,-10.91,160.93,182.69亿,1.21亿,SZ,300274,144.98,1.08,19.46,7.42,145.21,阳光电源,否,7.62,否,0,False,-17.79,21.80,3010.51亿
121,446.79亿,-4.96,20.90,12.08亿,6001.21万,SH,600875,19.72,0.70,17.87,1.61,19.74,东方电气,否,2.65,否,1,False,-1.03,21.74,682.68亿
122,1707.05亿,-1.42,9.21,10.84亿,1.19亿,SH,601985,9.01,0.64,16.41,1.64,9.04,中国核电,否,0.63,否,1,False,-0.13,21.72,1859.35亿
123,1721.39亿,-1.65,27.96,11.85亿,4295.20万,SH,600887,27.31,0.87,12.01,3.25,27.35,伊利股份,否,0.68,否,1,False,-0.46,21.30,1729.99亿
124,1789.20亿,-0.60,10.05,3.21亿,3215.53万,SH,600025,9.89,0.84,20.09,2.81,9.94,华能水电,否,0.18,否,1,False,-0.06,21.20,1851.93亿
125,2389.19亿,-4.41,101.26,38.87亿,3964.19万,SH,603259,96.46,0.72,16.83,4.81,96.60,药明康德,否,1.60,否,1,False,-4.46,20.93,2882.31亿
126,1229.27亿,-0.46,4.35,7.67亿,1.78亿,SH,600905,4.29,1.04,16.11,1.39,4.30,三峡能源,否,0.62,否,1,False,-0.02,20.87,1229.27亿
127,1557.67亿,-1.49,4.03,7.19亿,1.81亿,SZ,003816,3.94,0.67,16.80,1.66,3.96,中国广核,否,0.46,否,0,False,-0.06,20.71,1999.75亿
128,847.79亿,-1.73,11.74,15.74亿,1.37亿,SH,600958,11.32,0.98,13.92,1.21,11.35,东方证券,否,1.83,否,1,False,-0.20,20.51,964.37亿
129,664.33亿,-1.47,8.25,9.08亿,1.11亿,SH,601901,8.05,0.82,13.93,1.33,8.07,方正证券,否,1.35,否,1,False,-0.12,20.50,664.33亿
130,1.82万亿,-2.01,1488.00,55.95亿,380.86万,SH,600519,1454.03,0.80,20.07,7.63,1455.00,贵州茅台,否,0.30,否,1,False,-29.91,20.26,1.82万亿
131,1015.63亿,0.63,61.35,3.39亿,559.20万,SZ,002311,59.39,0.83,18.40,4.22,61.09,海大集团,否,0.34,否,0,False,0.38,20.26,1016.38亿
132,1078.83亿,0.54,7.69,10.00亿,1.32亿,SZ,002027,7.43,0.97,20.24,6.60,7.47,分众传媒,否,0.91,否,0,False,0.04,20.25,1078.83亿
133,1557.42亿,0.00,7.27,6.66亿,9265.87万,SH,600019,7.12,0.78,15.96,0.76,7.15,宝钢股份,否,0.43,否,1,False,0.00,20.24,1557.42亿
134,6748.44亿,-0.18,28.38,32.36亿,1.15亿,SH,600900,28.06,1.12,26.34,3.33,28.11,长江电力,否,0.48,否,1,False,-0.05,20.12,6878.02亿
135,479.37亿,-0.79,68.50,3.60亿,529.23万,SH,600600,67.50,0.83,11.81,3.08,67.60,青岛啤酒,否,0.75,否,1,False,-0.54,20.01,922.20亿
136,649.51亿,-4.73,74.71,13.76亿,1907.47万,SH,605117,71.33,0.93,21.33,6.79,71.55,德业股份,否,2.10,否,1,False,-3.55,20.00,649.51亿
