SERIAL,CIRCULATION_MARKET_VALUE<140>,CHG,PEAK_PRICE<140>,TRADING_VOLUMES,VOLUME,MARKET_SHORT_NAME,SECURITY_CODE,BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,TURNOVER_RATE,MARKET_NUM,IN_OPTIONAL,IFSTSTOCK{2025-10-27},PCHG,PETTM{2025-10-27},TOAL_MARKET_VALUE<140>
104,374.45亿,0.80,125.20,4.65亿,374.23万,SZ,300866,123.11,1.10,28.49,7.08,124.00,安克创新,否,1.24,0,False,否,0.99,27.38,664.84亿
105,951.23亿,2.42,61.17,6.82亿,1126.71万,SZ,000408,59.74,0.99,25.94,6.30,60.58,藏格矿业,否,0.72,0,False,否,1.43,26.82,951.24亿
106,504.34亿,3.18,22.41,5.61亿,2525.15万,SH,600482,21.86,1.51,27.43,1.27,22.38,中国动力,否,1.12,1,False,否,0.69,26.64,504.34亿
107,509.49亿,5.76,113.88,7.12亿,636.53万,SH,688578,108.01,2.08,24.23,8.31,113.22,艾力斯,否,1.41,1,False,否,6.17,26.40,509.49亿
108,747.35亿,0.53,19.22,11.79亿,6164.11万,SH,601788,19.00,1.31,26.21,1.48,19.13,光大证券,否,1.58,1,False,否,0.10,26.19,882.04亿
109,453.27亿,0.20,34.97,3.55亿,1024.16万,SZ,002422,34.50,0.96,27.72,2.36,34.71,科伦药业,否,0.78,0,False,否,0.07,25.91,554.68亿
110,1909.28亿,-1.66,23.47,23.45亿,1.03亿,SH,600031,22.37,1.69,18.30,2.69,22.53,三一重工,否,1.21,1,False,否,-0.38,25.48,1909.28亿
111,785.26亿,0.77,38.08,11.21亿,2971.82万,SZ,002179,37.45,1.21,27.82,3.41,37.74,中航光电,否,1.43,0,False,否,0.29,25.40,799.44亿
112,495.18亿,3.05,30.31,20.83亿,6998.36万,SH,600988,29.05,1.23,20.61,4.52,29.76,赤峰黄金,否,4.21,1,False,否,0.88,25.40,565.56亿
113,887.38亿,1.44,17.76,1.02亿,580.74万,SZ,001289,17.22,1.37,21.80,1.97,17.60,龙源电力,否,0.12,0,False,否,0.25,24.98,1471.33亿
114,515.88亿,-0.72,53.69,3.98亿,751.09万,SH,601021,52.60,1.20,22.07,2.94,52.73,春秋航空,否,0.77,1,False,否,-0.38,24.97,515.88亿
115,1111.49亿,2.69,23.10,19.41亿,8550.29万,SH,600489,22.17,0.75,20.62,3.93,22.93,中金黄金,否,1.76,1,False,否,0.60,24.95,1111.49亿
116,2654.02亿,1.18,172.63,157.23亿,9439.53万,SZ,300274,162.66,1.30,22.38,8.53,166.95,阳光电源,否,5.94,0,False,否,1.95,24.77,3461.23亿
117,1264.68亿,2.93,24.15,24.13亿,1.01亿,SZ,000792,23.49,1.49,21.07,3.08,23.90,盐湖股份,否,1.91,0,False,否,0.68,24.74,1264.69亿
118,965.70亿,0.87,36.52,12.92亿,3598.40万,SH,600160,35.31,1.42,22.30,4.73,35.77,巨化股份,否,1.33,1,False,否,0.31,24.18,965.70亿
119,1493.94亿,0.49,4.08,15.81亿,3.89亿,SZ,000725,4.05,1.20,23.45,1.14,4.07,京东方Ａ,否,1.06,0,False,否,0.02,24.11,1522.74亿
120,618.81亿,0.45,29.55,6.89亿,2354.18万,SH,600196,29.03,1.07,22.92,1.65,29.21,复星医药,否,1.11,1,False,否,0.13,23.92,780.03亿
121,1007.75亿,0.44,18.59,12.61亿,6886.65万,SH,600415,18.02,1.45,21.86,4.54,18.38,小商品城,否,1.26,1,False,否,0.08,23.88,1007.88亿
122,1128.20亿,0.29,39.00,16.06亿,4152.94万,SH,601995,38.44,1.97,21.51,1.94,38.59,中金公司,否,1.42,1,False,否,0.11,23.83,1862.84亿
123,1883.13亿,1.86,23.73,10.75亿,4567.77万,SH,600406,23.25,1.19,32.04,3.88,23.55,国电南瑞,否,0.57,1,False,否,0.43,23.66,1891.56亿
124,1744.74亿,1.32,26.96,5.09亿,1898.67万,SH,601066,26.61,1.80,23.11,2.61,26.86,中信建投,否,0.29,1,False,否,0.35,23.17,2083.45亿
125,536.05亿,0.86,11.79,7.16亿,6101.01万,SH,601878,11.67,1.93,23.33,1.49,11.72,浙商证券,否,1.33,1,False,否,0.10,23.14,536.05亿
126,3066.74亿,1.83,34.28,32.07亿,9474.77万,SZ,002415,33.38,1.06,25.00,3.96,33.90,海康威视,否,1.05,0,False,否,0.61,23.13,3106.89亿
127,2637.51亿,2.73,111.00,77.72亿,7197.65万,SH,603259,105.30,2.48,19.76,4.48,106.64,药明康德,否,2.91,1,False,否,2.83,22.49,3181.88亿
128,3627.08亿,0.24,104.97,36.08亿,3459.88万,SZ,002594,103.88,1.02,30.57,4.51,104.01,比亚迪,否,0.99,0,False,否,0.25,22.45,9482.80亿
129,985.29亿,2.63,19.90,39.89亿,2.05亿,SH,600089,19.00,0.96,15.47,1.49,19.50,特变电工,否,4.06,1,False,否,0.50,22.40,985.29亿
130,854.81亿,-2.20,78.01,11.53亿,1524.65万,SH,688036,74.33,1.48,35.24,4.31,74.96,传音控股,否,1.34,1,False,否,-1.69,22.36,854.81亿
131,1218.62亿,2.70,65.36,55.59亿,8626.93万,SH,603799,63.52,1.16,21.85,2.58,64.68,华友钴业,否,4.58,1,False,否,1.70,22.36,1228.45亿
